REF_IND,GENRE_IND,TYP_DOC_ID_IND,NUM_DOC_ID_IND,LIEU_DOC_ID_IND,DATE_DOC_ID_IND,COD_TVA_IND,NOM_IND,PRE_IND,DAT_NAISS_CREAT,GRP_IND,LIM_CRED_GLO_IND,LIM_FIN_GLO_IND,INFO_IND,DAT_INFO_IND,ID_NLDP,COD_SCLAS,ABRV_IND,LOGO_IND,PHOTO_IND,MF_IND,RC_IND,EXO_TVA,DAT_DEB_EXO,DAT_FIN_EXO,TEL_IND,FAX_IND,EMAIL_IND,REF_ADH_IND,FROM_JUR_IND,EXO_IND,ADR_IND,CP_IND,REF_ACH_IND,ID_GROUPE
1,PM   ,Registre De Commerce,B176541997,NUMÉRO INTROUVABLE,2014-02-10,FAX Introuvable     ,XF1,SH1,2014-02-10,False,,,40900191,,1.0,0035630P/A,AST0814             ,,,       / ,B176541997,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,40900191,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41700191,
2,PM   ,Registre De Commerce,B141352003,NUMÉRO INTROUVABLE,2014-02-10,FAX Introuvable     ,XF2,SH2,2014-02-10,False,,,0,,1.0,0000000,,,,       / ,B141352003,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41700003,
3,PM   ,Registre De Commerce,B129211997,NUMÉRO INTROUVABLE,2014-02-10,0296379Y            ,XF3,SH3,2014-02-10,False,,,40980899,,1.0,0000000,CTM0314             ,,,0296379/Y,B129211997,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,40980899,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782266,
4,PM   ,Registre De Commerce,B14991997,NUMÉRO INTROUVABLE,2014-02-10,0000732G            ,XF4,SH4,2014-02-10,False,,,,,2.0,0000000,CTCI0614            ,,,0000732/G,B14991997,False,,,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,40999601,SARL                                                                                                ,False,ADRS Introuvable,2095      ,REF INT,
5,PM   ,Registre De Commerce,B139471997,NUMÉRO INTROUVABLE,2014-02-10,G                   ,XF5,SH5,2014-02-10,False,,,40991849,,1.0,0000000,EBF0313             ,,,G      / ,B139471997,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,40991849,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41782322,
6,PM   ,Registre De Commerce,B0296372009,NUMÉRO INTROUVABLE,2014-02-10,G                   ,XF6,SH6,2014-02-10,False,,,40919999,,1.0,0000000,                    ,,,G      / ,B0296372009,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,40919999,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,REF INT,
7,PM   ,Registre De Commerce,B24192422009,NUMÉRO INTROUVABLE,2014-02-10,1127175E            ,XF7,SH7,2014-02-10,False,,,40976832,,2.0,0000000,NTAS0414            ,,,1127175/E,B24192422009,False,,,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,40976832,SARL                                                                                                ,False,ADRS Introuvable,2095      ,41776832,
8,PM   ,Registre De Commerce,B0940052005,NUMÉRO INTROUVABLE,2014-02-10,0930293E            ,XF8,SH8,2014-02-10,False,,,,,2.0,0000000,SET2614             ,,,0930293/E,B0940052005,False,,,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,40982268,SARL                                                                                                ,False,ADRS Introuvable,2095      ,41782268,
9,PM   ,Registre De Commerce,B097572005,NUMÉRO INTROUVABLE,2014-02-10,0905953Z            ,XF9,SH9,2014-02-10,False,,,,,2.0,0000000,SOM0114             ,,,0905953/Z,B097572005,False,,,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,40991480,SARL                                                                                                ,False,ADRS Introuvable,2095      ,41791480,
10,PM   ,Registre De Commerce,B 122771997,NUMÉRO INTROUVABLE,1993-11-10,0005381A            ,XF10,SH10,1993-11-10,False,,,0,,1.0,0000000,,,,0005381/A,B 122771997,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41799880,
11,PM   ,Registre De Commerce,B2425742007,NUMÉRO INTROUVABLE,2007-04-10,0999931J            ,XF11,SH11,2007-04-10,False,,,0,,1.0,0000000,,,,0999931/J,B2425742007,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41799960,
12,PM   ,Registre De Commerce,B 158971996,NUMÉRO INTROUVABLE,1976-02-05,0002992K            ,XF12,SH12,1976-02-05,False,,,0,,1.0,0000000,,,,0002992/K,B 158971996,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41700280,
13,PM   ,Registre De Commerce,B 121121998,NUMÉRO INTROUVABLE,1989-05-13,0035760K            ,XF13,SH13,1989-05-13,False,,,0,,1.0,0000000,,,,0035760K,B 121121998,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41769949,
14,PM   ,Registre De Commerce,B 1116461997,NUMÉRO INTROUVABLE,1992-12-17,0397032H            ,XF14,SH14,1992-12-17,False,,,40999988,,1.0,0000000,,,,0397032/H,B 1116461997,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,40999988,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41799988,
15,PM   ,Registre De Commerce,B14991997,NUMÉRO INTROUVABLE,1992-12-17,0013767M            ,XF15,SH15,1992-12-17,False,,,0,,1.0,0000000,,,,0013767/M,B14991997,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,REF INT,
16,PM   ,Registre De Commerce,B163361998,NUMÉRO INTROUVABLE,1990-11-20,0035626T            ,XF16,SH16,1990-11-20,False,,,0,,1.0,0000000,,,,0035626/T,B163361998,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41722810,
17,PM   ,Registre De Commerce,B124012002,NUMÉRO INTROUVABLE,2012-02-27,0601553Z            ,XF17,SH17,2012-02-27,False,,,0,,1.0,0000000,,,,0601553/Z,B124012002,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41799860,
18,PM   ,Registre De Commerce,B 118822003,NUMÉRO INTROUVABLE,1993-12-31,0489949G            ,XF18,SH18,1993-12-31,False,,,40999892,,2.0,0000000,MBG001              ,,,0489949/G,B 118822003,False,,,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,40999892,SARL                                                                                                ,False,ADRS Introuvable,2095,41799892,
19,PM   ,Registre De Commerce,B0235702007,NUMÉRO INTROUVABLE,2007-04-13,1005167D            ,XF19,SH19,2007-04-13,False,,,0,,1.0,0000000,,,,1005167/D,B0235702007,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41704244,
20,PM   ,Registre De Commerce,B185811996,NUMÉRO INTROUVABLE,1979-12-01,0006013G            ,XF20,SH20,1979-12-01,False,,,0,,1.0,0000000,,,,0006013/G,B185811996,False,2014-02-10,2014-02-10,Numéro Introuvable,FAX Introuvable,EMAIL Introuvable,0,JUR Introuvable                                                                                     ,False,ADRS Introuvable,CP Introuvable,41713153,
